Date,Market,Contract,LastTradePrice
2025-03-06,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,83 to 85,0.01
2025-03-06,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,86 to 88,0.01
2025-03-06,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,89 to 91,0.01
2025-03-06,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,92 or more,0.01
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Mikie Sherrill,0.72
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Steven Fulop,0.11
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Josh Gottheimer,0.07
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Ras Baraka,0.06
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Stephen Sweeney,0.05
2025-03-06,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Sean Spiller,0.03
2025-03-06,Will Eric Adams leave the office of Mayor of New York before April 1?,Will Eric Adams leave the office of Mayor of New York before April 1?,0.01
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,48 or fewer,0.85
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,49,0.01
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,50,0.04
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,51,0.04
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,52,0.1
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,53,0.02
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,54,0.01
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,55,0.01
2025-03-06,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,56 or more,0.01
2025-03-06,Who will win the 2025 Oakland mayoral special election?,Barbara Lee,0.8
2025-03-06,Who will win the 2025 Oakland mayoral special election?,Loren Taylor,0.2
2025-03-06,Who will win the 2025 Oakland mayoral special election?,Cristina Grappo,0.01
2025-03-06,Who will win the 2025 Oakland mayoral special election?,Tyron Jordan,0.01
2025-03-06,Who will win the 2025 Oakland mayoral special election?,Elizabeth Swaney,0.01
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,214 or fewer,0.86
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,215,0.05
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,216,0.03
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,217,0.03
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,218,0.02
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,219,0.01
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,220,0.01
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,221,0.01
2025-03-06,How many Yea votes in the House by May 16 to pass reconciliation?,222 or more,0.01
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,1 vote,0.67
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,2 votes,0.17
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,3 votes,0.07
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,4 votes,0.05
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,5 votes,0.02
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,6 votes,0.01
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,7 votes,0.01
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,8 votes,0.01
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,9 votes,0.01
2025-03-06,How many tie-breaking Senate votes will JD Vance cast by June 30?,10 or more votes,0.01
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Pete Hegseth,0.17
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Howard Lutnick,0.09
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Marco Rubio,0.08
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Tulsi Gabbard,0.05
2025-03-06,Who will be the first Cabinet member to leave in 2025?,R. F. Kennedy Jr.,0.04
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Scott Bessent,0.03
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Scott Turner,0.03
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Sean Duffy,0.03
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Kristi Noem,0.03
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Lee Zeldin,0.02
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Doug Collins,0.02
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Russel Vought,0.02
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Chris Wright,0.02
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Doug Burgum,0.01
2025-03-06,Who will be the first Cabinet member to leave in 2025?,Brooke Rollins,0.01
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$1.5T or fewer,0.05
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$1.5T to $2T,0.05
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$2T to $2.5T,0.06
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$2.5T to $3T,0.15
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$3T to $3.5T,0.13
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$3.5T to $4T,0.1
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$4T to $4.5T,0.11
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$4.5T to $5T,0.09
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$5T to $5.5T,0.06
2025-03-06,How much will the 2025 reconciliation bill increase the deficit?,$5.5T or more,0.23
2025-03-06,What will be the margin in the FL-01 House special election?,Under 13%,0.16
2025-03-06,What will be the margin in the FL-01 House special election?,13% to 16%,0.11
2025-03-06,What will be the margin in the FL-01 House special election?,16% to 19%,0.13
2025-03-06,What will be the margin in the FL-01 House special election?,19% to 22%,0.11
2025-03-06,What will be the margin in the FL-01 House special election?,22% to 25%,0.1
2025-03-06,What will be the margin in the FL-01 House special election?,25% to 28%,0.11
2025-03-06,What will be the margin in the FL-01 House special election?,28% to 31%,0.07
2025-03-06,What will be the margin in the FL-01 House special election?,31% to 34%,0.03
2025-03-06,What will be the margin in the FL-01 House special election?,34% to 37%,0.01
2025-03-06,What will be the margin in the FL-01 House special election?,37% or more,0.01
2025-03-06,What will be the margin in the FL-06 House special election?,Weil ≥ 0%,0.12
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 0% to 3%,0.14
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 3% to 6%,0.19
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 6% to 9%,0.14
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 9% to 12%,0.14
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 12% to 15%,0.12
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 15% to 18%,0.1
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 18% to 21%,0.04
2025-03-06,What will be the margin in the FL-06 House special election?,Fine 21% to 24%,0.01
2025-03-06,What will be the margin in the FL-06 House special election?,Fine by 24% or more,0.01
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford ≥ 10%,0.25
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford 8% - 10%,0.15
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford 6% - 8%,0.17
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford 4% - 6%,0.18
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford 2% - 4%,0.12
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Crawford under 2%,0.08
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Schimel under 2%,0.06
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Schimel 2% - 4%,0.01
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Schimel 4% - 6%,0.01
2025-03-06,What will be the margin in the Wisconsin Supreme Court election?,Schimel ≥ 6%,0.01
2025-03-06,Will the President sign a reconciliation bill by September 1?,Will the President sign a reconciliation bill by September 1?,0.75
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Andrew Cuomo,0.75
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Zohran Mamdani,0.12
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Brad Lander,0.05
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Eric Adams,0.05
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Zellnor Myrie,0.05
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Scott Stringer,0.02
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Jessica Ramos,0.01
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Letitia James,0.01
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Jumaane Williams,0.01
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Whitney Tilson,0.01
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Adrienne Adams,0.01
2025-03-07,Who will win the Democratic nomination for Mayor of New York?,Michael Blake,0.01
2025-03-07,Which party will win the 2025 gubernatorial election in Virginia?,Democratic,0.82
2025-03-07,Which party will win the 2025 gubernatorial election in Virginia?,Republican,0.18
2025-03-07,Will Congress confirm a Supreme Court justice in 2025?,Will Congress confirm a Supreme Court justice in 2025?,0.35
2025-03-07,Who will win the Spring 2025 Wisconsin Supreme Court election?,Susan Crawford,0.89
2025-03-07,Who will win the Spring 2025 Wisconsin Supreme Court election?,Brad Schimel,0.14
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,67 or fewer,0.99
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,68 to 70,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,71 to 73,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,74 to 76,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,77 to 79,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,80 to 82,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,83 to 85,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,86 to 88,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,89 to 91,0.01
2025-03-07,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,92 or more,0.01
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Mikie Sherrill,0.72
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Steven Fulop,0.11
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Josh Gottheimer,0.07
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Ras Baraka,0.06
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Stephen Sweeney,0.05
2025-03-07,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Sean Spiller,0.03
2025-03-07,Will Eric Adams leave the office of Mayor of New York before April 1?,Will Eric Adams leave the office of Mayor of New York before April 1?,0.01
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,48 or fewer,0.85
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,49,0.01
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,50,0.04
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,51,0.04
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,52,0.1
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,53,0.02
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,54,0.01
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,55,0.01
2025-03-07,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,56 or more,0.01
2025-03-07,Who will win the 2025 Oakland mayoral special election?,Barbara Lee,0.8
2025-03-07,Who will win the 2025 Oakland mayoral special election?,Loren Taylor,0.2
2025-03-07,Who will win the 2025 Oakland mayoral special election?,Cristina Grappo,0.01
2025-03-07,Who will win the 2025 Oakland mayoral special election?,Tyron Jordan,0.01
2025-03-07,Who will win the 2025 Oakland mayoral special election?,Elizabeth Swaney,0.01
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,214 or fewer,0.86
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,215,0.05
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,216,0.03
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,217,0.03
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,218,0.02
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,219,0.01
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,220,0.01
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,221,0.01
2025-03-07,How many Yea votes in the House by May 16 to pass reconciliation?,222 or more,0.01
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,1 vote,0.67
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,2 votes,0.17
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,3 votes,0.07
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,4 votes,0.05
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,5 votes,0.02
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,6 votes,0.01
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,7 votes,0.01
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,8 votes,0.01
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,9 votes,0.01
2025-03-07,How many tie-breaking Senate votes will JD Vance cast by June 30?,10 or more votes,0.01
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Pete Hegseth,0.17
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Howard Lutnick,0.09
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Marco Rubio,0.08
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Tulsi Gabbard,0.05
2025-03-07,Who will be the first Cabinet member to leave in 2025?,R. F. Kennedy Jr.,0.04
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Scott Bessent,0.03
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Scott Turner,0.03
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Sean Duffy,0.03
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Kristi Noem,0.03
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Lee Zeldin,0.02
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Doug Collins,0.02
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Russel Vought,0.02
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Chris Wright,0.02
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Doug Burgum,0.01
2025-03-07,Who will be the first Cabinet member to leave in 2025?,Brooke Rollins,0.01
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$1.5T or fewer,0.05
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$1.5T to $2T,0.05
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$2T to $2.5T,0.06
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$2.5T to $3T,0.15
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$3T to $3.5T,0.13
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$3.5T to $4T,0.1
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$4T to $4.5T,0.11
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$4.5T to $5T,0.09
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$5T to $5.5T,0.06
2025-03-07,How much will the 2025 reconciliation bill increase the deficit?,$5.5T or more,0.23
2025-03-07,What will be the margin in the FL-01 House special election?,Under 13%,0.16
2025-03-07,What will be the margin in the FL-01 House special election?,13% to 16%,0.11
2025-03-07,What will be the margin in the FL-01 House special election?,16% to 19%,0.13
2025-03-07,What will be the margin in the FL-01 House special election?,19% to 22%,0.11
2025-03-07,What will be the margin in the FL-01 House special election?,22% to 25%,0.1
2025-03-07,What will be the margin in the FL-01 House special election?,25% to 28%,0.11
2025-03-07,What will be the margin in the FL-01 House special election?,28% to 31%,0.07
2025-03-07,What will be the margin in the FL-01 House special election?,31% to 34%,0.03
2025-03-07,What will be the margin in the FL-01 House special election?,34% to 37%,0.01
2025-03-07,What will be the margin in the FL-01 House special election?,37% or more,0.01
2025-03-07,What will be the margin in the FL-06 House special election?,Weil ≥ 0%,0.12
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 0% to 3%,0.14
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 3% to 6%,0.19
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 6% to 9%,0.14
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 9% to 12%,0.14
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 12% to 15%,0.12
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 15% to 18%,0.1
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 18% to 21%,0.04
2025-03-07,What will be the margin in the FL-06 House special election?,Fine 21% to 24%,0.01
2025-03-07,What will be the margin in the FL-06 House special election?,Fine by 24% or more,0.01
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford ≥ 10%,0.25
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford 8% - 10%,0.15
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford 6% - 8%,0.17
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford 4% - 6%,0.18
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford 2% - 4%,0.12
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Crawford under 2%,0.08
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Schimel under 2%,0.06
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Schimel 2% - 4%,0.01
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Schimel 4% - 6%,0.01
2025-03-07,What will be the margin in the Wisconsin Supreme Court election?,Schimel ≥ 6%,0.01
2025-03-07,Will the President sign a reconciliation bill by September 1?,Will the President sign a reconciliation bill by September 1?,0.75
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Andrew Cuomo,0.75
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Zohran Mamdani,0.12
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Brad Lander,0.05
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Eric Adams,0.05
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Zellnor Myrie,0.05
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Scott Stringer,0.02
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Jessica Ramos,0.01
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Letitia James,0.01
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Jumaane Williams,0.01
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Whitney Tilson,0.01
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Adrienne Adams,0.01
2025-03-08,Who will win the Democratic nomination for Mayor of New York?,Michael Blake,0.01
2025-03-08,Which party will win the 2025 gubernatorial election in Virginia?,Democratic,0.82
2025-03-08,Which party will win the 2025 gubernatorial election in Virginia?,Republican,0.18
2025-03-08,Will Congress confirm a Supreme Court justice in 2025?,Will Congress confirm a Supreme Court justice in 2025?,0.35
2025-03-08,Who will win the Spring 2025 Wisconsin Supreme Court election?,Susan Crawford,0.89
2025-03-08,Who will win the Spring 2025 Wisconsin Supreme Court election?,Brad Schimel,0.14
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,67 or fewer,0.99
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,68 to 70,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,71 to 73,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,74 to 76,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,77 to 79,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,80 to 82,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,83 to 85,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,86 to 88,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,89 to 91,0.01
2025-03-08,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,92 or more,0.01
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Mikie Sherrill,0.72
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Steven Fulop,0.11
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Josh Gottheimer,0.07
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Ras Baraka,0.06
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Stephen Sweeney,0.05
2025-03-08,Who will win the 2025 New Jersey Democratic gubernatorial nomination?,Sean Spiller,0.03
2025-03-08,Will Eric Adams leave the office of Mayor of New York before April 1?,Will Eric Adams leave the office of Mayor of New York before April 1?,0.01
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,48 or fewer,0.85
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,49,0.01
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,50,0.04
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,51,0.04
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,52,0.1
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,53,0.02
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,54,0.01
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,55,0.01
2025-03-08,How many Yea votes in the Senate by May 16 to pass a reconciliation bill?,56 or more,0.01
2025-03-08,Who will win the 2025 Oakland mayoral special election?,Barbara Lee,0.8
2025-03-08,Who will win the 2025 Oakland mayoral special election?,Loren Taylor,0.2
2025-03-08,Who will win the 2025 Oakland mayoral special election?,Cristina Grappo,0.01
2025-03-08,Who will win the 2025 Oakland mayoral special election?,Tyron Jordan,0.01
2025-03-08,Who will win the 2025 Oakland mayoral special election?,Elizabeth Swaney,0.01
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,214 or fewer,0.86
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,215,0.05
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,216,0.03
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,217,0.03
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,218,0.02
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,219,0.01
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,220,0.01
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,221,0.01
2025-03-08,How many Yea votes in the House by May 16 to pass reconciliation?,222 or more,0.01
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,1 vote,0.67
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,2 votes,0.17
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,3 votes,0.07
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,4 votes,0.05
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,5 votes,0.02
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,6 votes,0.01
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,7 votes,0.01
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,8 votes,0.01
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,9 votes,0.01
2025-03-08,How many tie-breaking Senate votes will JD Vance cast by June 30?,10 or more votes,0.01
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Pete Hegseth,0.17
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Howard Lutnick,0.09
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Marco Rubio,0.08
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Tulsi Gabbard,0.05
2025-03-08,Who will be the first Cabinet member to leave in 2025?,R. F. Kennedy Jr.,0.04
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Scott Bessent,0.03
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Scott Turner,0.03
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Sean Duffy,0.03
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Kristi Noem,0.03
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Lee Zeldin,0.02
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Doug Collins,0.02
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Russel Vought,0.02
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Chris Wright,0.02
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Doug Burgum,0.01
2025-03-08,Who will be the first Cabinet member to leave in 2025?,Brooke Rollins,0.01
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$1.5T or fewer,0.05
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$1.5T to $2T,0.05
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$2T to $2.5T,0.06
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$2.5T to $3T,0.15
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$3T to $3.5T,0.13
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$3.5T to $4T,0.1
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$4T to $4.5T,0.11
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$4.5T to $5T,0.09
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$5T to $5.5T,0.06
2025-03-08,How much will the 2025 reconciliation bill increase the deficit?,$5.5T or more,0.23
2025-03-08,What will be the margin in the FL-01 House special election?,Under 13%,0.16
2025-03-08,What will be the margin in the FL-01 House special election?,13% to 16%,0.11
2025-03-08,What will be the margin in the FL-01 House special election?,16% to 19%,0.13
2025-03-08,What will be the margin in the FL-01 House special election?,19% to 22%,0.11
2025-03-08,What will be the margin in the FL-01 House special election?,22% to 25%,0.1
2025-03-08,What will be the margin in the FL-01 House special election?,25% to 28%,0.11
2025-03-08,What will be the margin in the FL-01 House special election?,28% to 31%,0.07
2025-03-08,What will be the margin in the FL-01 House special election?,31% to 34%,0.03
2025-03-08,What will be the margin in the FL-01 House special election?,34% to 37%,0.01
2025-03-08,What will be the margin in the FL-01 House special election?,37% or more,0.01
2025-03-08,What will be the margin in the FL-06 House special election?,Weil ≥ 0%,0.12
2025-03-08,What will be the margin in the FL-06 House special election?,Fine 0% to 3%,0.14
2025-03-08,What will be the margin in the FL-06 House special election?,Fine 3% to 6%,0.19
2025-03-08,What will be the margin in the FL-06 House special election?,Fine 6% to 9%,0.14
